latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-3.59347,-38.86276,305.78,1.35,1.15,6/17/2024,0:09,T,66,6.1NRT,291.41,9,N
65.20827,152.32773,310.87,1.01,1,6/17/2024,0:41,T,70,6.1NRT,294.41,7.28,D
64.50116,156.60312,322.38,1.06,1.03,6/17/2024,0:41,T,57,6.1NRT,295.32,16.16,D
64.49261,156.59531,337.88,1.06,1.03,6/17/2024,0:41,T,90,6.1NRT,298.92,37.07,D
64.48905,156.61563,324.77,1.06,1.03,6/17/2024,0:41,T,58,6.1NRT,296.4,18.43,D
64.48409,156.58745,337.54,1.06,1.03,6/17/2024,0:41,T,90,6.1NRT,298.65,35.4,D
63.97387,151.97612,319.67,1,1,6/17/2024,0:41,T,70,6.1NRT,295.43,12.85,D
63.97663,151.9567,316.49,1,1,6/17/2024,0:41,T,74,6.1NRT,295.94,10.19,D
63.9794,151.93726,321.26,1,1,6/17/2024,0:41,T,78,6.1NRT,296.63,14.03,D
65.10574,149.83278,318.41,1.07,1.03,6/17/2024,0:41,T,28,6.1NRT,288.93,16.32,D
65.13605,149.90013,329.05,1.07,1.03,6/17/2024,0:41,T,67,6.1NRT,289.39,27.09,D
64.46078,156.55872,316.52,1.06,1.03,6/17/2024,0:41,T,75,6.1NRT,295.31,12.14,D
64.4643,156.53854,324.69,1.06,1.03,6/17/2024,0:41,T,82,6.1NRT,296.89,20.81,D
64.46783,156.51823,319.65,1.05,1.03,6/17/2024,0:41,T,45,6.1NRT,296.29,14.25,D
64.48338,156.4857,314.75,1.05,1.02,6/17/2024,0:41,T,58,6.1NRT,295.26,10.48,D
64.48689,156.46548,309.23,1.05,1.02,6/17/2024,0:41,T,34,6.1NRT,294.39,6.19,D
70.20831,152.2478,314.54,1.15,1.07,6/17/2024,0:41,T,45,6.1NRT,294.42,12.56,D
70.37402,144.17989,308.11,1.74,1.29,6/17/2024,0:41,T,0,6.1NRT,292.49,12.99,D
70.33702,144.20749,309.23,1.73,1.29,6/17/2024,0:41,T,44,6.1NRT,292.63,14.03,D
67.40988,165.32214,345.46,1.31,1.13,6/17/2024,0:41,T,94,6.1NRT,298.25,69.63,D
67.40408,165.34828,361.45,1.31,1.14,6/17/2024,0:41,T,100,6.1NRT,302.73,124.29,D
67.39793,165.37592,329.01,1.31,1.14,6/17/2024,0:41,T,64,6.1NRT,300.03,31.12,D
64.47558,156.57942,330.19,1.06,1.03,6/17/2024,0:41,T,23,6.1NRT,296.6,22.93,D
67.40118,165.30856,344.35,1.31,1.13,6/17/2024,0:41,T,76,6.1NRT,300.03,63.14,D
67.3951,165.33589,334.23,1.31,1.14,6/17/2024,0:41,T,47,6.1NRT,303.06,38.8,D
69.3562,138.2935,318.65,2.45,1.51,6/17/2024,0:41,T,72,6.1NRT,295.24,49.61,D
69.34275,138.28972,326.11,2.45,1.51,6/17/2024,0:41,T,83,6.1NRT,294.76,75.48,D
69.29691,139.64977,320.8,2.23,1.45,6/17/2024,0:41,T,78,6.1NRT,296.36,48.38,D
67.51751,146.82803,309.09,1.34,1.15,6/17/2024,0:41,T,55,6.1NRT,291.82,10.96,D
67.37141,145.15616,342.51,1.47,1.2,6/17/2024,0:41,T,93,6.1NRT,298.21,75.45,D
67.36877,145.18964,346.39,1.46,1.2,6/17/2024,0:41,T,94,6.1NRT,299.51,87.88,D
67.35825,145.18427,324.92,1.46,1.2,6/17/2024,0:41,T,82,6.1NRT,297.19,33.65,D
67.42308,144.17554,312.23,1.57,1.23,6/17/2024,0:41,T,67,6.1NRT,297.89,12.63,D
67.41476,144.13464,311.71,1.57,1.23,6/17/2024,0:41,T,56,6.1NRT,295.11,13.03,D
67.41219,144.17058,347.74,1.57,1.23,6/17/2024,0:41,T,95,6.1NRT,299.28,103.24,D
